Accession	Dataset	Tissue	CellLine	PrimaryCell	Lab	Link	DataType	Controls
ENCFF001GBZ	/experiments/ENCSR000DXF/	.	.	epithelial cell of proximal tubule	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GBZ/@@download/ENCFF001GBZ.bigWig	raw signal	/files/ENCFF001HWM/, /files/ENCFF001HWN/, /files/ENCFF001HWY/, /files/ENCFF671FKH/, /files/ENCFF870RFE/, /files/ENCFF518AQJ/, /files/ENCFF634UTF/
ENCFF001EYV	/experiments/ENCSR000DSE/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EYV/@@download/ENCFF001EYV.bigWig	raw signal	/files/ENCFF001HIB/, /files/ENCFF001HIC/, /files/ENCFF001HII/, /files/ENCFF663QPN/, /files/ENCFF136OPR/, /files/ENCFF763THW/, /files/ENCFF807CDF/
ENCFF001EYW	/experiments/ENCSR000DSE/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EYW/@@download/ENCFF001EYW.bigWig	raw signal	/files/ENCFF001HIB/, /files/ENCFF001HIC/, /files/ENCFF001HII/, /files/ENCFF663QPN/, /files/ENCFF136OPR/, /files/ENCFF763THW/, /files/ENCFF807CDF/
ENCFF000CVE	/experiments/ENCSR000APG/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CVE/@@download/ENCFF000CVE.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF001EMH	/experiments/ENCSR000DPI/	.	AG04449	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EMH/@@download/ENCFF001EMH.bigWig	raw signal	/files/ENCFF001GWG/, /files/ENCFF001GWH/, /files/ENCFF001GWR/, /files/ENCFF430CVT/, /files/ENCFF353NNK/, /files/ENCFF083JSC/, /files/ENCFF509FDD/
ENCFF001EMJ	/experiments/ENCSR000DPI/	.	AG04449	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EMJ/@@download/ENCFF001EMJ.bigWig	raw signal	/files/ENCFF001GWG/, /files/ENCFF001GWH/, /files/ENCFF001GWR/, /files/ENCFF430CVT/, /files/ENCFF353NNK/, /files/ENCFF083JSC/, /files/ENCFF509FDD/
ENCFF001GYR	/experiments/ENCSR000DPY/	.	.	fibroblast of the aortic adventitia	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GYR/@@download/ENCFF001GYR.bigWig	raw signal	/files/ENCFF001GYT/, /files/ENCFF001GYU/, /files/ENCFF001GZF/, /files/ENCFF798MEL/, /files/ENCFF436GDS/, /files/ENCFF345HOL/, /files/ENCFF972ATQ/
ENCFF001GYS	/experiments/ENCSR000DPY/	.	.	fibroblast of the aortic adventitia	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GYS/@@download/ENCFF001GYS.bigWig	raw signal	/files/ENCFF001GYT/, /files/ENCFF001GYU/, /files/ENCFF001GZF/, /files/ENCFF798MEL/, /files/ENCFF436GDS/, /files/ENCFF345HOL/, /files/ENCFF972ATQ/
ENCFF000CUB	/experiments/ENCSR000ASG/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CUB/@@download/ENCFF000CUB.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF000ASF	/experiments/ENCSR000AKA/	.	GM12878	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000ASF/@@download/ENCFF000ASF.bigWig	signal	/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/
ENCFF000ATR	/experiments/ENCSR000AKA/	.	GM12878	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000ATR/@@download/ENCFF000ATR.bigWig	signal	/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/
ENCFF000CFF	/experiments/ENCSR000ASQ/	.	.	CD14-positive monocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CFF/@@download/ENCFF000CFF.bigWig	signal	/files/ENCFF000CCJ/, /files/ENCFF000CCL/, /files/ENCFF000CCM/, /files/ENCFF000CCQ/, /files/ENCFF000CCW/, /files/ENCFF383QCX/, /files/ENCFF865NTT/, /files/ENCFF545JWL/, /files/ENCFF075YNC/, /files/ENCFF695ZNW/, /files/ENCFF914LSY/, /files/ENCFF572RFU/, /files/ENCFF701QJX/, /files/ENCFF730IJS/, /files/ENCFF692GVG/, /files/ENCFF244XQF/, /files/ENCFF365LFR/, /files/ENCFF020SWF/, /files/ENCFF894MBE/, /files/ENCFF172HPC/
ENCFF000CVW	/experiments/ENCSR000APJ/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CVW/@@download/ENCFF000CVW.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF001FPC	/experiments/ENCSR000DUZ/	.	.	fibroblast of pulmonary artery	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FPC/@@download/ENCFF001FPC.bigWig	raw signal	/files/ENCFF001HQJ/, /files/ENCFF001HQK/, /files/ENCFF001HQN/, /files/ENCFF160XMD/, /files/ENCFF886XYV/, /files/ENCFF463QOK/, /files/ENCFF327YGC/
ENCFF001FPD	/experiments/ENCSR000DUZ/	.	.	fibroblast of pulmonary artery	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FPD/@@download/ENCFF001FPD.bigWig	raw signal	/files/ENCFF001HQJ/, /files/ENCFF001HQK/, /files/ENCFF001HQN/, /files/ENCFF160XMD/, /files/ENCFF886XYV/, /files/ENCFF463QOK/, /files/ENCFF327YGC/
ENCFF000CVK	/experiments/ENCSR000APH/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CVK/@@download/ENCFF000CVK.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF001FDD	/experiments/ENCSR000DSG/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FDD/@@download/ENCFF001FDD.bigWig	raw signal	/files/ENCFF001HIE/, /files/ENCFF001HIF/, /files/ENCFF001HIK/, /files/ENCFF722WMU/, /files/ENCFF198VJS/, /files/ENCFF866UAN/, /files/ENCFF018SKU/
ENCFF001FDG	/experiments/ENCSR000DSG/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FDG/@@download/ENCFF001FDG.bigWig	raw signal	/files/ENCFF001HIE/, /files/ENCFF001HIF/, /files/ENCFF001HIK/, /files/ENCFF722WMU/, /files/ENCFF198VJS/, /files/ENCFF866UAN/, /files/ENCFF018SKU/
ENCFF000CJZ	/experiments/ENCSR000APN/	.	.	fibroblast of dermis	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CJZ/@@download/ENCFF000CJZ.bigWig	signal	/files/ENCFF000CIN/, /files/ENCFF000CIO/, /files/ENCFF000CIP/, /files/ENCFF000CIU/, /files/ENCFF000CIW/, /files/ENCFF090CYH/, /files/ENCFF138XPE/, /files/ENCFF898XQK/, /files/ENCFF860HKY/, /files/ENCFF955HWE/, /files/ENCFF412GJA/, /files/ENCFF859VNG/, /files/ENCFF204ZPV/, /files/ENCFF092GQD/, /files/ENCFF753JIU/, /files/ENCFF615VVU/, /files/ENCFF487DBD/, /files/ENCFF782IQQ/, /files/ENCFF739WQP/, /files/ENCFF005RXL/, /files/ENCFF429XTA/, /files/ENCFF638YZB/
ENCFF001EWB	/experiments/ENCSR000DRC/	.	GM12865	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EWB/@@download/ENCFF001EWB.bigWig	raw signal	/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/
ENCFF001EWD	/experiments/ENCSR000DRC/	.	GM12865	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EWD/@@download/ENCFF001EWD.bigWig	raw signal	/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/
ENCFF000CQZ	/experiments/ENCSR000ARP/	.	.	fibroblast of lung	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CQZ/@@download/ENCFF000CQZ.bigWig	signal	/files/ENCFF000CQE/, /files/ENCFF000CQF/, /files/ENCFF000CQH/, /files/ENCFF000CQO/, /files/ENCFF000CQP/, /files/ENCFF554LJZ/, /files/ENCFF681UKF/, /files/ENCFF386PAD/, /files/ENCFF007RSP/, /files/ENCFF923PUU/, /files/ENCFF208SHP/, /files/ENCFF552KRT/, /files/ENCFF250VFW/, /files/ENCFF579ZCP/
ENCFF000BEW	/experiments/ENCSR000ATD/	.	HepG2	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BEW/@@download/ENCFF000BEW.bigWig	signal	/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/
ENCFF000AOW	/experiments/ENCSR000AQY/	.	DND-41	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AOW/@@download/ENCFF000AOW.bigWig	signal	/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/
ENCFF000CBL	/experiments/ENCSR000AQI/	.	K562	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CBL/@@download/ENCFF000CBL.bigWig	signal	/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/
ENCFF000BYR	/experiments/ENCSR000AKW/	.	K562	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BYR/@@download/ENCFF000BYR.bigWig	signal	/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/
ENCFF000BRP	/experiments/ENCSR000ATB/	.	.	endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BRP/@@download/ENCFF000BRP.bigWig	signal	/files/ENCFF000BQJ/, /files/ENCFF000BQK/, /files/ENCFF000BQM/, /files/ENCFF000BQP/, /files/ENCFF000BQS/, /files/ENCFF000BQV/, /files/ENCFF000BQW/, /files/ENCFF780ZFP/, /files/ENCFF261CBZ/, /files/ENCFF771PFZ/, /files/ENCFF039WIG/, /files/ENCFF636OYP/, /files/ENCFF496RFB/, /files/ENCFF907AUP/
ENCFF001GAA	/experiments/ENCSR000DWW/	.	.	keratinocyte	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GAA/@@download/ENCFF001GAA.bigWig	raw signal	/files/ENCFF001HVM/, /files/ENCFF001HVO/, /files/ENCFF001HVV/, /files/ENCFF969GRO/, /files/ENCFF962BWT/, /files/ENCFF358LHD/, /files/ENCFF707BUF/
ENCFF001GAB	/experiments/ENCSR000DWW/	.	.	keratinocyte	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GAB/@@download/ENCFF001GAB.bigWig	raw signal	/files/ENCFF001HVM/, /files/ENCFF001HVO/, /files/ENCFF001HVV/, /files/ENCFF969GRO/, /files/ENCFF962BWT/, /files/ENCFF358LHD/, /files/ENCFF707BUF/
ENCFF000BZZ	/experiments/ENCSR000ATY/	.	K562	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BZZ/@@download/ENCFF000BZZ.bigWig	signal	/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/
ENCFF000BOR	/experiments/ENCSR000ATI/	.	.	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BOR/@@download/ENCFF000BOR.bigWig	signal	/files/ENCFF000BNE/, /files/ENCFF000BNF/, /files/ENCFF000BNH/, /files/ENCFF000BNO/, /files/ENCFF000BNR/, /files/ENCFF384SVU/, /files/ENCFF742NGM/, /files/ENCFF408COK/, /files/ENCFF882RJG/, /files/ENCFF115XVH/, /files/ENCFF712QEE/, /files/ENCFF900ZEG/, /files/ENCFF695JTM/, /files/ENCFF559IIB/, /files/ENCFF180ALL/, /files/ENCFF341IUA/, /files/ENCFF873IRA/, /files/ENCFF512CVC/
ENCFF001FGE	/experiments/ENCSR000DTC/	.	.	brain microvascular endothelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FGE/@@download/ENCFF001FGE.bigWig	raw signal	/files/ENCFF001HJU/, /files/ENCFF001HJY/, /files/ENCFF001HKF/, /files/ENCFF597YIM/, /files/ENCFF632ZLA/, /files/ENCFF489TFZ/, /files/ENCFF092GCH/
ENCFF001FGG	/experiments/ENCSR000DTC/	.	.	brain microvascular endothelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FGG/@@download/ENCFF001FGG.bigWig	raw signal	/files/ENCFF001HJU/, /files/ENCFF001HJY/, /files/ENCFF001HKF/, /files/ENCFF597YIM/, /files/ENCFF632ZLA/, /files/ENCFF489TFZ/, /files/ENCFF092GCH/
ENCFF000BTU	/experiments/ENCSR000ALD/	.	.	endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BTU/@@download/ENCFF000BTU.bigWig	signal	/files/ENCFF000BQJ/, /files/ENCFF000BQK/, /files/ENCFF000BQM/, /files/ENCFF000BQP/, /files/ENCFF000BQS/, /files/ENCFF000BQV/, /files/ENCFF000BQW/, /files/ENCFF780ZFP/, /files/ENCFF261CBZ/, /files/ENCFF771PFZ/, /files/ENCFF039WIG/, /files/ENCFF636OYP/, /files/ENCFF496RFB/, /files/ENCFF907AUP/
ENCFF000VKD	/experiments/ENCSR000EXV/	.	.	mononuclear cell	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000VKD/@@download/ENCFF000VKD.bigWig	signal	/files/ENCFF000VKL/, /files/ENCFF000VKM/, /files/ENCFF000VKO/, /files/ENCFF000VKN/, /files/ENCFF676VDZ/, /files/ENCFF738UVB/, /files/ENCFF519MQF/, /files/ENCFF908XUV/, /files/ENCFF814VRG/, /files/ENCFF918JVX/, /files/ENCFF176MNQ/, /files/ENCFF522CTK/
ENCFF000AKM	/experiments/ENCSR000AUI/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AKM/@@download/ENCFF000AKM.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
